PUZone,month,count
Upper East Side South,1,380663
Upper East Side North,1,363649
Midtown Center,1,360995
Penn Station/Madison Sq West,1,339970
Times Sq/Theatre District,1,334079
Union Sq,1,333035
Midtown East,1,330946
Murray Hill,1,306244
East Village,1,303580
Clinton East,1,297414
Lincoln Square East,1,277230
Upper West Side South,1,252264
Midtown North,1,250939
Gramercy,1,238695
Midtown South,1,227768
JFK Airport,1,227167
Lenox Hill West,1,226739
East Chelsea,1,224558
LaGuardia Airport,1,212193
West Village,1,211629
Garment District,1,192095
Upper West Side North,1,188532
Sutton Place/Turtle Bay North,1,186284
Flatiron,1,184608
TriBeCa/Civic Center,1,178395
Yorkville West,1,175604
Lenox Hill East,1,170197
Greenwich Village North,1,167755
NV,1,165447
Lower East Side,1,144851
Greenwich Village South,1,138688
West Chelsea/Hudson Yards,1,136139
Kips Bay,1,126680
UN/Turtle Bay South,1,120656
Yorkville East,1,119578
Central Park,1,118938
Little Italy/NoLiTa,1,109868
Meatpacking/West Village West,1,108792
Lincoln Square West,1,103951
Battery Park City,1,87023
Clinton West,1,86809
Manhattan Valley,1,83943
SoHo,1,81562
Financial District North,1,70765
East Harlem South,1,62590
Hudson Sq,1,56617
World Trade Center,1,52453
Morningside Heights,1,45794
Financial District South,1,36802
Central Harlem,1,32519
East Harlem North,1,32165
Stuy Town/Peter Cooper Village,1,30043
Bloomingdale,1,28070
Alphabet City,1,27602
Chinatown,1,22017
Two Bridges/Seward Park,1,19155
Seaport,1,17620
Astoria,1,17462
Sunnyside,1,17362
Central Harlem North,1,14884
Downtown Brooklyn/MetroTech,1,12237
Park Slope,1,12131
Williamsburg (North Side),1,11904
Hamilton Heights,1,11056
Williamsburg (South Side),1,11052
Long Island City/Queens Plaza,1,10349
Brooklyn Heights,1,10141
Boerum Hill,1,9719
Washington Heights South,1,9520
Long Island City/Hunters Point,1,9284
Manhattanville,1,8828
Fort Greene,1,8622
Woodside,1,6315
Old Astoria,1,6112
Steinway,1,5981
Cobble Hill,1,5901
Carroll Gardens,1,5847
East Williamsburg,1,5727
Jackson Heights,1,5713
Greenpoint,1,5475
NA,1,4523
Queensbridge/Ravenswood,1,4371
Clinton Hill,1,3673
DUMBO/Vinegar Hill,1,3458
Bushwick South,1,3140
Battery Park,1,3062
Prospect Heights,1,3056
Elmhurst,1,2979
Bedford,1,2874
Crown Heights North,1,2325
Washington Heights North,1,1921
West Concourse,1,1820
Gowanus,1,1803
Bushwick North,1,1772
Mott Haven/Port Morris,1,1607
Forest Hills,1,1527
Baisley Park,1,1458
East Elmhurst,1,1384
Elmhurst/Maspeth,1,1321
Stuyvesant Heights,1,1204
Prospect-Lefferts Gardens,1,1189
Flushing Meadows-Corona Park,1,1117
Sunset Park West,1,1045
Inwood,1,959
South Williamsburg,1,946
Flatbush/Ditmas Park,1,920
Rego Park,1,803
Jamaica,1,724
Newark Airport,1,696
Briarwood/Jamaica Hills,1,647
South Jamaica,1,622
Corona,1,529
Columbia Street,1,517
Kensington,1,512
Melrose South,1,501
Maspeth,1,480
South Ozone Park,1,474
Flushing,1,458
East Concourse/Concourse Village,1,455
Crown Heights South,1,453
Prospect Park,1,445
Springfield Gardens South,1,444
Red Hook,1,434
Roosevelt Island,1,423
Kew Gardens,1,421
Randalls Island,1,411
North Corona,1,403
Windsor Terrace,1,392
Ridgewood,1,374
Cypress Hills,1,362
Bay Ridge,1,359
Richmond Hill,1,323
Saint Michaels Cemetery/Woodside,1,309
Brooklyn Navy Yard,1,288
Highbridge,1,280
Erasmus,1,268
Ocean Hill,1,251
East New York,1,250
Brighton Beach,1,243
Spuyten Duyvil/Kingsbridge,1,217
Morrisania/Melrose,1,207
Ocean Parkway South,1,201
Kew Gardens Hills,1,195
Borough Park,1,195
Mount Hope,1,195
University Heights/Morris Heights,1,191
Grymes Hill/Clifton,1,188
Canarsie,1,180
Homecrest,1,166
Middle Village,1,164
Stapleton,1,161
Brownsville,1,153
Flatlands,1,148
Woodhaven,1,141
Gravesend,1,138
Midwood,1,133
Bedford Park,1,131
Van Nest/Morris Park,1,130
East Flatbush/Remsen Village,1,128
Astoria Park,1,125
East Tremont,1,125
Kingsbridge Heights,1,124
Sunset Park East,1,123
Westchester Village/Unionport,1,122
Soundview/Bruckner,1,121
Claremont/Bathgate,1,120
Hunts Point,1,114
East Flatbush/Farragut,1,113
Queensboro Hill,1,111
Soundview/Castle Hill,1,108
Coney Island,1,108
Longwood,1,102
Van Cortlandt Village,1,99
Norwood,1,96
Sheepshead Bay,1,96
East New York/Pennsylvania Avenue,1,93
Crotona Park East,1,91
Bensonhurst West,1,90
Parkchester,1,88
Fordham South,1,79
Marble Hill,1,78
Pelham Parkway,1,77
Bensonhurst East,1,73
Riverdale/North Riverdale/Fieldston,1,72
West Farms/Bronx River,1,71
Bayside,1,70
Whitestone,1,69
College Point,1,69
Hillcrest/Pomonok,1,69
Glendale,1,68
Jamaica Estates,1,68
Howard Beach,1,67
Belmont,1,66
Ozone Park,1,66
Marine Park/Mill Basin,1,62
Co-Op City,1,61
Springfield Gardens North,1,60
Dyker Heights,1,59
Queens Village,1,59
