src,dst,weight
Midtown East,Meatpacking/West Village West,1918
Sunnyside,Old Astoria,246
Gramercy,Flatiron,7191
East Village,JFK Airport,1107
Jackson Heights,Clinton East,23
East Harlem North,Union Sq,159
UN/Turtle Bay South,Park Slope,300
East Village,Corona,56
Times Sq/Theatre District,Long Island City/Hunters Point,905
Midtown North,Flatiron,2685
TriBeCa/Civic Center,Lenox Hill East,983
Union Sq,Financial District North,2575
Sutton Place/Turtle Bay North,Maspeth,78
Upper West Side South,Garment District,1562
Old Astoria,Times Sq/Theatre District,51
Battery Park City,East Village,1716
Central Harlem North,Inwood,68
Garment District,Gramercy,3520
Middle Village,Middle Village,30
Lincoln Square West,Meatpacking/West Village West,424
Long Island City/Queens Plaza,Williamsbridge/Olinville,1
Two Bridges/Seward Park,Seaport,188
East Village,Schuylerville/Edgewater Park,27
JFK Airport,Parkchester,148
Upper West Side North,Hudson Sq,177
Clinton West,Madison,6
Central Harlem North,Crotona Park East,18
West Chelsea/Hudson Yards,South Williamsburg,14
Little Italy/NoLiTa,Manhattan Valley,167
Upper East Side North,Elmhurst/Maspeth,46
Carroll Gardens,Upper West Side South,9
Prospect Heights,Downtown Brooklyn/MetroTech,83
Upper West Side South,Clinton Hill,49
Corona,Sunnyside,5
Upper East Side North,Elmhurst,124
Mott Haven/Port Morris,Melrose South,63
Union Sq,Van Cortlandt Park,3
Midtown Center,Inwood,138
Mount Hope,Williamsbridge/Olinville,3
Inwood,Kingsbridge Heights,14
Clinton Hill,Central Harlem,2
East Williamsburg,Gowanus,21
Homecrest,Bensonhurst East,1
West Chelsea/Hudson Yards,Erasmus,11
Sunset Park West,Windsor Terrace,18
Hamilton Heights,Kingsbridge Heights,16
Bushwick South,Long Island City/Queens Plaza,5
Bushwick North,Hamilton Heights,4
Two Bridges/Seward Park,Dyker Heights,3
Jackson Heights,Murray Hill-Queens,21
Ridgewood,Williamsburg (South Side),8
University Heights/Morris Heights,West Farms/Bronx River,3
Two Bridges/Seward Park,Briarwood/Jamaica Hills,3
Bloomingdale,Chinatown,7
Queensboro Hill,Auburndale,3
Park Slope,Jackson Heights,12
Central Harlem North,Far Rockaway,1
Hudson Sq,Willets Point,1
Battery Park,Fort Greene,10
Elmhurst/Maspeth,Mott Haven/Port Morris,3
Old Astoria,Flatiron,15
Richmond Hill,Whitestone,2
Woodside,Williamsburg (North Side),15
Long Island City/Queens Plaza,Bloomingdale,10
East Harlem South,Battery Park,7
Financial District North,Morningside Heights,78
Midtown North,Springfield Gardens South,3
Columbia Street,Kips Bay,3
Downtown Brooklyn/MetroTech,NV,18
Clinton West,Prospect Park,9
Clinton Hill,Brooklyn Navy Yard,17
TriBeCa/Civic Center,Bensonhurst East,30
Midtown East,Queens Village,20
Queens Village,NA,8
Central Harlem,Brownsville,2
East Chelsea,Hudson Sq,1834
Long Island City/Hunters Point,Bensonhurst West,1
Flatlands,Marine Park/Mill Basin,3
Long Island City/Queens Plaza,Sunset Park East,3
Upper East Side North,South Jamaica,12
DUMBO/Vinegar Hill,Lincoln Square West,8
East Harlem North,Hudson Sq,14
Flushing Meadows-Corona Park,Hamilton Heights,4
SoHo,Forest Park/Highland Park,1
Saint Michaels Cemetery/Woodside,Sutton Place/Turtle Bay North,1
Battery Park,Windsor Terrace,4
SoHo,South Jamaica,1
Central Harlem North,Flatlands,1
Greenpoint,Bensonhurst West,1
Schuylerville/Edgewater Park,Williamsbridge/Olinville,1
Prospect-Lefferts Gardens,Downtown Brooklyn/MetroTech,13
East Concourse/Concourse Village,Bedford Park,8
Marble Hill,Washington Heights South,1
West Concourse,Woodhaven,2
Greenwich Village North,Bronxdale,4
Long Island City/Hunters Point,Highbridge Park,1
Howard Beach,Springfield Gardens South,4
Sunnyside,Van Cortlandt Village,1
South Jamaica,Fort Greene,1
Sutton Place/Turtle Bay North,Coney Island,4
SoHo,Laurelton,1
Midwood,Crown Heights North,2
Sunset Park West,West Chelsea/Hudson Yards,5
Sunnyside,Newark Airport,3
Gravesend,Sheepshead Bay,1
Norwood,Ocean Hill,1
Bloomingdale,Mariners Harbor,1
Jamaica,Boerum Hill,1
Stuy Town/Peter Cooper Village,West Farms/Bronx River,1
Crown Heights South,Kips Bay,1
Greenpoint,Ozone Park,1
Steinway,Gowanus,2
Bronxdale,Eastchester,1
Gramercy,Bellerose,1
Washington Heights South,Kensington,1
Central Park,Briarwood/Jamaica Hills,2
West Village,Green-Wood Cemetery,1
Longwood,Upper East Side South,1
Brooklyn Navy Yard,Kensington,1
East New York/Pennsylvania Avenue,Williamsburg (South Side),1
Maspeth,Seaport,1
Allerton/Pelham Gardens,East Tremont,1
Little Italy/NoLiTa,Murray Hill,3419
Penn Station/Madison Sq West,Clinton East,13669
Clinton East,East Harlem South,1761
JFK Airport,Bushwick North,1242
East Village,Sunset Park West,269
Midtown South,East Harlem South,1187
Upper East Side South,Upper West Side North,8351
East Harlem North,Lenox Hill West,786
Midtown East,Lenox Hill East,9726
Jackson Heights,JFK Airport,39
Midtown Center,East Williamsburg,224
South Jamaica,West Village,13
NV,Whitestone,6
East Harlem North,Marble Hill,5
West Village,West Chelsea/Hudson Yards,5685
East Harlem North,East Village,194
Yorkville West,Lincoln Square West,1374
JFK Airport,Roosevelt Island,364
Garment District,East Chelsea,4930
Sutton Place/Turtle Bay North,Clinton West,979
Upper East Side North,Chinatown,181
Long Island City/Hunters Point,Stuyvesant Heights,21
Upper East Side North,Murray Hill,4537
East Harlem South,TriBeCa/Civic Center,153
Astoria,Kips Bay,146
Alphabet City,Lincoln Square West,68
West Chelsea/Hudson Yards,SoHo,1572
Penn Station/Madison Sq West,Boerum Hill,391
Upper East Side South,Alphabet City,383
Clinton West,Lenox Hill East,522
Upper East Side South,Mott Haven/Port Morris,102
Penn Station/Madison Sq West,Cobble Hill,212
Morningside Heights,Greenwich Village South,81
Midtown North,South Williamsburg,31
East Chelsea,Cypress Hills,14
Sutton Place/Turtle Bay North,Two Bridges/Seward Park,513
Midtown Center,Elmhurst,163
Boerum Hill,Clinton East,29
East Harlem North,Little Italy/NoLiTa,32
Seaport,Manhattan Valley,30
JFK Airport,University Heights/Morris Heights,156
Midtown North,Jamaica Estates,20
Boerum Hill,Erasmus,34
Midtown South,South Ozone Park,32
Bay Ridge,Dyker Heights,20
Midtown South,Jamaica,24
Gramercy,Bensonhurst West,18
Fort Greene,Sunset Park West,64
Washington Heights South,Williamsbridge/Olinville,4
Yorkville West,Stuyvesant Heights,18
Ozone Park,Ozone Park,11
Bushwick North,Ocean Hill,10
East Village,Bayside,28
Garment District,Flushing,68
Elmhurst/Maspeth,Woodhaven,10
Jackson Heights,Greenpoint,13
Sunnyside,Flushing Meadows-Corona Park,18
Seaport,Hamilton Heights,21
Greenwich Village North,Steinway,118
East Williamsburg,Midtown South,9
Central Park,Kew Gardens,13
Clinton East,Cypress Hills,13
Seaport,Highbridge,2
Maspeth,Stuyvesant Heights,3
World Trade Center,Briarwood/Jamaica Hills,1
Central Harlem,West Concourse,86
Woodhaven,Howard Beach,3
Highbridge Park,Van Cortlandt Village,2
Hollis,Hollis,5
Randalls Island,Manhattanville,3
SoHo,Morningside Heights,101
Stuy Town/Peter Cooper Village,Prospect-Lefferts Gardens,18
Flatiron,East Concourse/Concourse Village,26
Lenox Hill East,Flushing,21
