VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,03-02-17 2:03,03-02-17 2:20,1,3.29,1,N,87,246,1,14,0,0.5,1.5,0,0.3,16.3
2,03-02-17 2:26,03-02-17 2:46,1,2.8,1,N,68,239,2,15,0,0.5,0,0,0.3,15.8
2,03-02-17 2:49,03-02-17 9:56,1,0.9,1,N,239,43,1,6,0,0.5,1.36,0,0.3,8.16
2,03-02-17 4:41,03-02-17 4:52,1,0.72,1,N,163,230,1,8,0,0.5,1.76,0,0.3,10.56
2,03-02-17 4:57,03-02-17 12:16,1,1.1,1,N,186,230,1,11,0,0.5,3.54,0,0.3,15.34
2,21-02-17 14:50,21-02-17 15:03,1,0.93,1,N,141,162,2,9,0,0.5,0,0,0.3,9.8
2,21-02-17 23:23,21-02-17 23:26,6,0.84,1,N,234,68,1,5,0.5,0.5,0.88,0,0.3,7.18
2,21-02-17 23:28,21-02-17 23:39,6,2.01,1,N,249,161,1,10,0.5,0.5,2.82,0,0.3,14.12
2,21-02-17 23:55,22-02-17 0:01,6,1.52,1,N,144,87,1,7,0.5,0.5,2.08,0,0.3,10.38
2,24-02-17 12:17,24-02-17 12:28,1,1.01,1,N,230,68,1,8,0,0.5,2.64,0,0.3,11.44
2,24-02-17 12:29,24-02-17 12:33,1,0.72,1,N,68,68,1,4.5,0,0.5,1.59,0,0.3,6.89
2,24-02-17 12:47,24-02-17 12:59,1,1.6,1,N,231,113,1,9,0,0.5,1.96,0,0.3,11.76
2,24-02-17 13:03,24-02-17 22:04,1,4.31,1,N,113,239,1,34.5,0,0.5,3,0,0.3,38.3
1,01-02-17 0:00,01-02-17 0:20,1,10.3,1,N,138,162,2,30.5,0.5,0.5,0,5.54,0.3,37.34
2,01-02-17 0:00,01-02-17 0:24,1,16.05,1,N,132,123,2,44,0.5,0.5,0,0,0.3,45.3
1,01-02-17 0:00,01-02-17 0:14,1,2.4,1,N,148,68,1,12,0.5,0.5,3,0,0.3,16.3
1,01-02-17 0:00,01-02-17 0:21,1,10.4,1,N,137,213,1,30.5,0.5,0.5,6.35,0,0.3,38.15
2,01-02-17 0:00,01-02-17 0:05,4,0.76,1,N,170,170,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,01-02-17 0:00,01-02-17 0:10,2,2.8,1,N,230,79,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,01-02-17 0:00,01-02-17 0:07,1,2.48,1,N,142,246,2,9.5,0.5,0.5,0,0,0.3,10.8
