PUHour,PUZone,month,count
afternoon,Upper East Side South,1,157826
afternoon,Upper East Side North,1,151358
evening,Times Sq/Theatre District,1,136867
evening,Midtown Center,1,136487
afternoon,Midtown Center,1,134284
evening,Union Sq,1,129806
evening,Midtown East,1,123194
morning,Upper East Side North,1,115309
afternoon,Midtown East,1,110824
evening,East Village,1,110726
afternoon,Union Sq,1,109299
evening,Penn Station/Madison Sq West,1,108464
evening,Upper East Side South,1,105797
evening,Lincoln Square East,1,104454
morning,Penn Station/Madison Sq West,1,104143
morning,Upper East Side South,1,103239
afternoon,Penn Station/Madison Sq West,1,102715
evening,Clinton East,1,101075
afternoon,Upper West Side South,1,98988
afternoon,Murray Hill,1,98182
evening,Murray Hill,1,95915
afternoon,Times Sq/Theatre District,1,95499
afternoon,Lincoln Square East,1,93984
evening,Midtown North,1,92676
midnight,East Village,1,88165
afternoon,Midtown North,1,87407
morning,Murray Hill,1,86052
evening,Upper East Side North,1,86032
evening,JFK Airport,1,84578
evening,LaGuardia Airport,1,82406
evening,Gramercy,1,81008
evening,West Village,1,79469
evening,Midtown South,1,79361
morning,Clinton East,1,78625
afternoon,JFK Airport,1,77141
morning,Midtown East,1,76679
afternoon,LaGuardia Airport,1,75216
afternoon,Lenox Hill West,1,73567
evening,East Chelsea,1,73506
evening,Upper West Side South,1,72155
afternoon,Midtown South,1,70646
afternoon,Upper West Side North,1,69732
morning,Lenox Hill West,1,69660
morning,Midtown Center,1,68884
afternoon,Clinton East,1,68637
morning,Upper West Side South,1,66162
afternoon,East Chelsea,1,66070
afternoon,Gramercy,1,65341
evening,Lenox Hill West,1,64263
morning,Lincoln Square East,1,63032
evening,Sutton Place/Turtle Bay North,1,62874
morning,Gramercy,1,62407
evening,Flatiron,1,62389
morning,Times Sq/Theatre District,1,62361
evening,TriBeCa/Civic Center,1,61247
afternoon,Lenox Hill East,1,61051
morning,Upper West Side North,1,60663
evening,Greenwich Village North,1,60410
midnight,Lower East Side,1,60391
morning,Union Sq,1,60047
morning,Lenox Hill East,1,58997
morning,Garment District,1,58713
evening,Garment District,1,58213
afternoon,Garment District,1,57247
afternoon,Flatiron,1,57220
afternoon,East Village,1,57017
afternoon,Central Park,1,56965
evening,Greenwich Village South,1,55049
afternoon,Yorkville West,1,54668
