PUZone	month	count
Upper East Side South	1	380663
Upper East Side North	1	363649
Midtown Center	1	360995
Penn Station/Madison Sq West	1	339970
Times Sq/Theatre District	1	334079
Union Sq	1	333035
Midtown East	1	330946
Murray Hill	1	306244
East Village	1	303580
Clinton East	1	297414
Lincoln Square East	1	277230
Upper West Side South	1	252264
Midtown North	1	250939
Gramercy	1	238695
Midtown South	1	227768
JFK Airport	1	227167
Lenox Hill West	1	226739
East Chelsea	1	224558
LaGuardia Airport	1	212193
West Village	1	211629
