PUZone,month,count,,PUZone,month,count,,PUZone,month,count,,PUZone,month,count
Upper East Side South,1,380663,,Midtown Center,2,347809,,Upper East Side South,3,380997,,Upper East Side South,4,390697
Upper East Side North,1,363649,,Upper East Side South,2,342756,,Midtown Center,3,377452,,Midtown Center,4,366820
Midtown Center,1,360995,,Penn Station/Madison Sq West,2,324149,,Times Sq/Theatre District,3,358287,,Upper East Side North,4,354946
Penn Station/Madison Sq West,1,339970,,Upper East Side North,2,321537,,Penn Station/Madison Sq West,3,356988,,Penn Station/Madison Sq West,4,342596
Times Sq/Theatre District,1,334079,,Union Sq,2,314375,,Upper East Side North,3,352736,,Times Sq/Theatre District,4,337932
Union Sq,1,333035,,Times Sq/Theatre District,2,312275,,Midtown East,3,345198,,Midtown East,4,331242
Midtown East,1,330946,,Midtown East,2,309016,,Union Sq,3,341603,,Union Sq,4,326389
Murray Hill,1,306244,,Murray Hill,2,292041,,Murray Hill,3,335374,,Murray Hill,4,315575
East Village,1,303580,,East Village,2,291471,,Clinton East,3,327184,,Clinton East,4,314603
Clinton East,1,297414,,Clinton East,2,283544,,East Village,3,316027,,East Village,4,303044
Lincoln Square East,1,277230,,Lincoln Square East,2,257701,,Lincoln Square East,3,290238,,Lincoln Square East,4,286473
Upper West Side South,1,252264,,Midtown North,2,241636,,Midtown North,3,271915,,Midtown North,4,263076
Midtown North,1,250939,,Upper West Side South,2,229832,,Upper West Side South,3,261620,,LaGuardia Airport,4,260742
Gramercy,1,238695,,Midtown South,2,222349,,Gramercy,3,249716,,Upper West Side South,4,254374
Midtown South,1,227768,,Gramercy,2,220736,,LaGuardia Airport,3,246789,,JFK Airport,4,245293
JFK Airport,1,227167,,East Chelsea,2,218766,,Midtown South,3,246361,,Gramercy,4,239571
Lenox Hill West,1,226739,,West Village,2,208857,,JFK Airport,3,236715,,Midtown South,4,239081
East Chelsea,1,224558,,Lenox Hill West,2,205365,,East Chelsea,3,236552,,East Chelsea,4,236737
LaGuardia Airport,1,212193,,LaGuardia Airport,2,193930,,Lenox Hill West,3,232399,,Lenox Hill West,4,226445
West Village,1,211629,,Garment District,2,187081,,West Village,3,217929,,West Village,4,216792
