PUZone,DOZone,max_fare,month
Upper West Side South,NV,625901.6,1
Two Bridges/Seward Park,Washington Heights North,538580.0,1
Upper East Side South,Lenox Hill West,9001.3,1
NV,NV,8043.84,1
Midtown North,Times Sq/Theatre District,3009.8,1
NV,NV,3009.3,1
Sunnyside,Sunnyside,2000.28,1
Sunnyside,Sunnyside,2000.28,1
Sunnyside,Sunnyside,2000.28,1
Sunnyside,Sunnyside,1000.29,1
Union Sq,Midtown Center,361772.02,2
Upper East Side North,Upper West Side South,335545.21,2
Upper West Side North,Midtown Center,171856.99,2
Upper East Side North,Gramercy,8018.6,2
NV,NV,8009.3,2
NV,NV,8005.8,2
Upper West Side North,Lincoln Square West,7003.51,2
Gramercy,Kips Bay,6722.4,2
NV,NV,5447.82,2
Bedford,Bedford,1206.24,2
Lincoln Square East,Long Island City/Hunters Point,171863.58,3
NV,NV,8015.8,3
NV,NV,8007.3,3
NV,NV,8006.3,3
NV,NV,3012.8,3
NV,NV,3011.8,3
NV,NV,3008.8,3
Lower East Side,Lower East Side,2759.37,3
Long Island City/Hunters Point,Long Island City/Hunters Point,2759.37,3
Little Italy/NoLiTa,Little Italy/NoLiTa,2759.37,3
Flatiron,NV,538482.68,4
Battery Park City,Midtown Center,198644.38,4
NV,NV,8010.3,4
West Chelsea/Hudson Yards,NV,6446.7,4
Long Island City/Hunters Point,Long Island City/Hunters Point,2759.37,4
SoHo,NV,2759.37,4
Long Island City/Hunters Point,Long Island City/Hunters Point,2759.37,4
Long Island City/Hunters Point,Long Island City/Hunters Point,2759.37,4
Clinton West,NV,2000.8,4
NA,NA,1713.15,4
