PUHour,PUZone,month,count,,PUHour,PUZone,month,count,,PUHour,PUZone,month,count,,PUHour,PUZone,month,count
afternoon,Upper East Side South,1,157826,,afternoon,Upper East Side South,2,138233,,afternoon,Upper East Side South,3,150808,,afternoon,Upper East Side South,4,155594
afternoon,Upper East Side North,1,151358,,afternoon,Upper East Side North,2,129832,,afternoon,Upper East Side North,3,140461,,afternoon,Upper East Side North,4,142822
afternoon,Midtown Center,1,134284,,afternoon,Midtown Center,2,128599,,afternoon,Midtown Center,3,135698,,afternoon,Midtown Center,4,134720
afternoon,Midtown East,1,110824,,afternoon,Union Sq,2,102271,,afternoon,Midtown East,3,109502,,afternoon,Midtown East,4,105991
afternoon,Union Sq,1,109299,,afternoon,Midtown East,2,100671,,afternoon,Union Sq,3,108632,,afternoon,Union Sq,4,103854
afternoon,Penn Station/Madison Sq West,1,102715,,afternoon,Penn Station/Madison Sq West,2,94245,,afternoon,Penn Station/Madison Sq West,3,101209,,afternoon,Penn Station/Madison Sq West,4,100345
afternoon,Upper West Side South,1,98988,,afternoon,Murray Hill,2,89584,,afternoon,Murray Hill,3,100428,,afternoon,Upper West Side South,4,98250
afternoon,Murray Hill,1,98182,,afternoon,Upper West Side South,2,86713,,afternoon,Upper West Side South,3,96854,,afternoon,Murray Hill,4,97265
afternoon,Times Sq/Theatre District,1,95499,,afternoon,Times Sq/Theatre District,2,86472,,afternoon,Times Sq/Theatre District,3,95177,,afternoon,Lincoln Square East,4,94864
afternoon,Lincoln Square East,1,93984,,afternoon,Lincoln Square East,2,85488,,afternoon,Lincoln Square East,3,93531,,afternoon,Times Sq/Theatre District,4,92205
afternoon,Midtown North,1,87407,,afternoon,Midtown North,2,84118,,afternoon,Midtown North,3,90263,,afternoon,LaGuardia Airport,4,91490
afternoon,JFK Airport,1,77141,,afternoon,LaGuardia Airport,2,69156,,afternoon,LaGuardia Airport,3,87792,,afternoon,Midtown North,4,89922
afternoon,LaGuardia Airport,1,75216,,afternoon,JFK Airport,2,66986,,afternoon,JFK Airport,3,79293,,afternoon,JFK Airport,4,80497
afternoon,Lenox Hill West,1,73567,,afternoon,Midtown South,2,66879,,afternoon,Lenox Hill West,3,72041,,afternoon,Lenox Hill West,4,72893
afternoon,Midtown South,1,70646,,afternoon,Lenox Hill West,2,64191,,afternoon,Midtown South,3,71658,,afternoon,Clinton East,4,69447
afternoon,Upper West Side North,1,69732,,afternoon,Clinton East,2,63965,,afternoon,Clinton East,3,70639,,afternoon,Midtown South,4,69227
afternoon,Clinton East,1,68637,,afternoon,Upper West Side North,2,62815,,afternoon,Upper West Side North,3,67424,,afternoon,Central Park,4,67879
afternoon,East Chelsea,1,66070,,afternoon,East Chelsea,2,62690,,afternoon,Gramercy,3,66233,,afternoon,Upper West Side North,4,66817
afternoon,Gramercy,1,65341,,afternoon,Gramercy,2,57666,,afternoon,East Chelsea,3,65320,,afternoon,Gramercy,4,65452
afternoon,Lenox Hill East,1,61051,,afternoon,Garment District,2,54617,,afternoon,Lenox Hill East,3,59802,,afternoon,East Chelsea,4,65260
afternoon,Garment District,1,57247,,afternoon,Flatiron,2,54537,,afternoon,Garment District,3,57582,,afternoon,Lenox Hill East,4,57308
afternoon,Flatiron,1,57220,,afternoon,TriBeCa/Civic Center,2,52687,,afternoon,Flatiron,3,57092,,afternoon,East Village,4,55670
afternoon,East Village,1,57017,,afternoon,West Chelsea/Hudson Yards,2,52455,,afternoon,East Village,3,57006,,afternoon,TriBeCa/Civic Center,4,55560
afternoon,Central Park,1,56965,,afternoon,Lenox Hill East,2,52085,,afternoon,NV,3,56048,,afternoon,Flatiron,4,55445
afternoon,Yorkville West,1,54668,,afternoon,East Village,2,51801,,afternoon,TriBeCa/Civic Center,3,56001,,afternoon,Garment District,4,55380
afternoon,TriBeCa/Civic Center,1,54345,,afternoon,Central Park,2,51785,,afternoon,Central Park,3,53869,,afternoon,Yorkville West,4,53075
afternoon,NV,1,52811,,afternoon,Greenwich Village North,2,48088,,afternoon,Yorkville West,3,53468,,afternoon,Sutton Place/Turtle Bay North,4,52578
afternoon,Greenwich Village North,1,51677,,afternoon,Yorkville West,2,47819,,afternoon,Sutton Place/Turtle Bay North,3,51888,,afternoon,Greenwich Village North,4,50714
afternoon,Sutton Place/Turtle Bay North,1,51365,,afternoon,NV,2,47644,,afternoon,Greenwich Village North,3,50675,,afternoon,West Chelsea/Hudson Yards,4,49616
afternoon,West Chelsea/Hudson Yards,1,50203,,afternoon,Sutton Place/Turtle Bay North,2,45840,,afternoon,West Chelsea/Hudson Yards,3,48662,,afternoon,West Village,4,47786
afternoon,West Village,1,46756,,afternoon,West Village,2,45721,,afternoon,West Village,3,47532,,afternoon,NV,4,43463
afternoon,Yorkville East,1,40403,,afternoon,Lincoln Square West,2,34719,,afternoon,UN/Turtle Bay South,3,43065,,afternoon,UN/Turtle Bay South,4,40814
afternoon,Lincoln Square West,1,38406,,afternoon,Yorkville East,2,34695,,afternoon,Lincoln Square West,3,39951,,afternoon,Yorkville East,4,39531
afternoon,UN/Turtle Bay South,1,37811,,afternoon,UN/Turtle Bay South,2,34524,,afternoon,Yorkville East,3,37862,,afternoon,Lincoln Square West,4,36968
afternoon,Kips Bay,1,37569,,afternoon,Kips Bay,2,32025,,afternoon,Kips Bay,3,36927,,afternoon,Kips Bay,4,35301
afternoon,Manhattan Valley,1,30383,,afternoon,Greenwich Village South,2,30721,,afternoon,Clinton West,3,34752,,afternoon,Battery Park City,4,34120
afternoon,Battery Park City,1,29981,,afternoon,Little Italy/NoLiTa,2,28725,,afternoon,Battery Park City,3,31588,,afternoon,Greenwich Village South,4,32362
afternoon,Little Italy/NoLiTa,1,29948,,afternoon,Battery Park City,2,28190,,afternoon,Greenwich Village South,3,31019,,afternoon,Meatpacking/West Village West,4,30270
afternoon,Greenwich Village South,1,29886,,afternoon,SoHo,2,28109,,afternoon,Manhattan Valley,3,30597,,afternoon,Manhattan Valley,4,30217
afternoon,SoHo,1,28830,,afternoon,Manhattan Valley,2,27817,,afternoon,Little Italy/NoLiTa,3,29427,,afternoon,Little Italy/NoLiTa,4,30116
afternoon,Meatpacking/West Village West,1,27994,,afternoon,Meatpacking/West Village West,2,27470,,afternoon,Meatpacking/West Village West,3,29178,,afternoon,Clinton West,4,29878
afternoon,Clinton West,1,26090,,afternoon,Clinton West,2,25056,,afternoon,SoHo,3,27316,,afternoon,SoHo,4,27899
afternoon,World Trade Center,1,22391,,afternoon,Financial District North,2,20876,,afternoon,Financial District North,3,23872,,afternoon,Financial District North,4,24855
afternoon,Financial District North,1,21436,,afternoon,Lower East Side,2,20313,,afternoon,East Harlem South,3,23704,,afternoon,World Trade Center,4,24605
afternoon,East Harlem South,1,20993,,afternoon,World Trade Center,2,19956,,afternoon,World Trade Center,3,22775,,afternoon,East Harlem South,4,21268
afternoon,Lower East Side,1,20922,,afternoon,East Harlem South,2,18697,,afternoon,Lower East Side,3,20640,,afternoon,Lower East Side,4,20246
afternoon,Hudson Sq,1,16785,,afternoon,Hudson Sq,2,18520,,afternoon,Morningside Heights,3,18775,,afternoon,Morningside Heights,4,19198
afternoon,Morningside Heights,1,16196,,afternoon,Morningside Heights,2,17345,,afternoon,Hudson Sq,3,18105,,afternoon,Hudson Sq,4,16728
afternoon,Financial District South,1,12626,,afternoon,Financial District South,2,11749,,afternoon,Financial District South,3,13447,,afternoon,Financial District South,4,14692
afternoon,Central Harlem,1,9184,,afternoon,Central Harlem,2,9108,,afternoon,East Harlem North,3,11539,,afternoon,Central Harlem,4,10464
afternoon,East Harlem North,1,9057,,afternoon,East Harlem North,2,8738,,afternoon,Central Harlem,3,11349,,afternoon,East Harlem North,4,10273
afternoon,Bloomingdale,1,8728,,afternoon,Bloomingdale,2,8369,,afternoon,Bloomingdale,3,9151,,afternoon,Bloomingdale,4,9545
afternoon,Stuy Town/Peter Cooper Village,1,7857,,afternoon,Stuy Town/Peter Cooper Village,2,6998,,afternoon,Stuy Town/Peter Cooper Village,3,7694,,afternoon,Stuy Town/Peter Cooper Village,4,7762
afternoon,Chinatown,1,7637,,afternoon,Chinatown,2,6805,,afternoon,Chinatown,3,7115,,afternoon,Chinatown,4,7568
afternoon,Seaport,1,5545,,afternoon,Seaport,2,4899,,afternoon,Seaport,3,5428,,afternoon,Seaport,4,5728
afternoon,Alphabet City,1,5154,,afternoon,Alphabet City,2,4314,,afternoon,Alphabet City,3,5335,,afternoon,Alphabet City,4,5066
afternoon,Two Bridges/Seward Park,1,4133,,afternoon,Two Bridges/Seward Park,2,3910,,afternoon,Sunnyside,3,4890,,afternoon,Central Harlem North,4,4384
afternoon,Sunnyside,1,3915,,afternoon,Sunnyside,2,3698,,afternoon,Central Harlem North,3,4766,,afternoon,Two Bridges/Seward Park,4,4191
afternoon,Central Harlem North,1,3692,,afternoon,Central Harlem North,2,3617,,afternoon,Two Bridges/Seward Park,3,4569,,afternoon,Downtown Brooklyn/MetroTech,4,3918
afternoon,Astoria,1,3107,,afternoon,Astoria,2,3133,,afternoon,Long Island City/Hunters Point,3,4097,,afternoon,Sunnyside,4,3750
afternoon,Downtown Brooklyn/MetroTech,1,2935,,afternoon,Downtown Brooklyn/MetroTech,2,3092,,afternoon,Astoria,3,3709,,afternoon,Long Island City/Hunters Point,4,3737
afternoon,Long Island City/Queens Plaza,1,2572,,afternoon,Long Island City/Hunters Point,2,2977,,afternoon,Downtown Brooklyn/MetroTech,3,3577,,afternoon,Astoria,4,3462
afternoon,Manhattanville,1,2571,,afternoon,Manhattanville,2,2764,,afternoon,Manhattanville,3,3144,,afternoon,Manhattanville,4,3079
afternoon,Long Island City/Hunters Point,1,2369,,afternoon,Hamilton Heights,2,2499,,afternoon,Long Island City/Queens Plaza,3,3073,,afternoon,Brooklyn Heights,4,2847
afternoon,Hamilton Heights,1,2222,,afternoon,Long Island City/Queens Plaza,2,2492,,afternoon,Washington Heights South,3,2831,,afternoon,Battery Park,4,2664
afternoon,Brooklyn Heights,1,2208,,afternoon,Washington Heights South,2,2255,,afternoon,Hamilton Heights,3,2769,,afternoon,Long Island City/Queens Plaza,4,2635
afternoon,Washington Heights South,1,2060,,afternoon,Boerum Hill,2,2100,,afternoon,Brooklyn Heights,3,2519,,afternoon,Hamilton Heights,4,2566
afternoon,Boerum Hill,1,2045,,afternoon,Brooklyn Heights,2,2009,,afternoon,Boerum Hill,3,2485,,afternoon,Washington Heights South,4,2562
afternoon,Battery Park,1,1898,,afternoon,Battery Park,2,1745,,afternoon,Battery Park,3,1965,,afternoon,Boerum Hill,4,2519
afternoon,Park Slope,1,1857,,afternoon,Park Slope,2,1577,,afternoon,Park Slope,3,1962,,afternoon,Park Slope,4,2034
afternoon,Fort Greene,1,1514,,afternoon,Fort Greene,2,1499,,afternoon,Fort Greene,3,1908,,afternoon,Williamsburg (North Side),4,1817
afternoon,Old Astoria,1,1371,,afternoon,Williamsburg (North Side),2,1459,,afternoon,Old Astoria,3,1510,,afternoon,Fort Greene,4,1780
afternoon,Williamsburg (North Side),1,1344,,afternoon,Old Astoria,2,1324,,afternoon,Queensbridge/Ravenswood,3,1507,,afternoon,Queensbridge/Ravenswood,4,1524
afternoon,Steinway,1,1162,,afternoon,Queensbridge/Ravenswood,2,1263,,afternoon,Williamsburg (North Side),3,1458,,afternoon,DUMBO/Vinegar Hill,4,1383
afternoon,Williamsburg (South Side),1,1160,,afternoon,Steinway,2,1128,,afternoon,Steinway,3,1355,,afternoon,Williamsburg (South Side),4,1355
afternoon,Woodside,1,1070,,afternoon,Williamsburg (South Side),2,1124,,afternoon,Williamsburg (South Side),3,1195,,afternoon,Old Astoria,4,1277
afternoon,Cobble Hill,1,1062,,afternoon,Woodside,2,1046,,afternoon,Woodside,3,1187,,afternoon,Steinway,4,1244
afternoon,Queensbridge/Ravenswood,1,1055,,afternoon,Jackson Heights,2,1032,,afternoon,Cobble Hill,3,1160,,afternoon,Greenpoint,4,1105
afternoon,Jackson Heights,1,1002,,afternoon,DUMBO/Vinegar Hill,2,980,,afternoon,Jackson Heights,3,1077,,afternoon,NA,4,1083
afternoon,NA,1,989,,afternoon,Cobble Hill,2,931,,afternoon,DUMBO/Vinegar Hill,3,1040,,afternoon,Cobble Hill,4,1071
afternoon,Carroll Gardens,1,930,,afternoon,Carroll Gardens,2,829,,afternoon,Greenpoint,3,1002,,afternoon,Woodside,4,1032
afternoon,DUMBO/Vinegar Hill,1,877,,afternoon,NA,2,799,,afternoon,Carroll Gardens,3,969,,afternoon,Jackson Heights,4,1004
afternoon,Greenpoint,1,777,,afternoon,Greenpoint,2,775,,afternoon,NA,3,934,,afternoon,Carroll Gardens,4,978
afternoon,Baisley Park,1,679,,afternoon,Baisley Park,2,642,,afternoon,Baisley Park,3,910,,afternoon,Baisley Park,4,844
afternoon,Clinton Hill,1,533,,afternoon,Mott Haven/Port Morris,2,537,,afternoon,Mott Haven/Port Morris,3,633,,afternoon,Clinton Hill,4,608
afternoon,West Concourse,1,515,,afternoon,Clinton Hill,2,532,,afternoon,West Concourse,3,610,,afternoon,West Concourse,4,565
afternoon,Prospect Heights,1,453,,afternoon,East Williamsburg,2,463,,afternoon,Clinton Hill,3,606,,afternoon,Prospect Heights,4,550
afternoon,Elmhurst,1,446,,afternoon,Flushing Meadows-Corona Park,2,433,,afternoon,Flushing Meadows-Corona Park,3,502,,afternoon,Mott Haven/Port Morris,4,527
afternoon,Flushing Meadows-Corona Park,1,444,,afternoon,West Concourse,2,424,,afternoon,Prospect Heights,3,477,,afternoon,Flushing Meadows-Corona Park,4,518
afternoon,Mott Haven/Port Morris,1,409,,afternoon,Elmhurst,2,409,,afternoon,Elmhurst,3,474,,afternoon,East Elmhurst,4,502
afternoon,East Williamsburg,1,386,,afternoon,Washington Heights North,2,406,,afternoon,East Elmhurst,3,430,,afternoon,East Williamsburg,4,475
afternoon,Newark Airport,1,363,,afternoon,East Elmhurst,2,374,,afternoon,Washington Heights North,3,426,,afternoon,Washington Heights North,4,435
afternoon,East Elmhurst,1,350,,afternoon,Prospect Heights,2,359,,afternoon,Gowanus,3,410,,afternoon,Bedford,4,397
afternoon,Jamaica,1,330,,afternoon,Bedford,2,302,,afternoon,East Williamsburg,3,356,,afternoon,Elmhurst,4,387
afternoon,Gowanus,1,312,,afternoon,Newark Airport,2,298,,afternoon,Bedford,3,354,,afternoon,Gowanus,4,372
afternoon,Bedford,1,311,,afternoon,Crown Heights North,2,292,,afternoon,Newark Airport,3,352,,afternoon,Newark Airport,4,359
afternoon,Washington Heights North,1,310,,afternoon,Gowanus,2,290,,afternoon,Jamaica,3,351,,afternoon,Jamaica,4,357
afternoon,South Jamaica,1,296,,afternoon,Jamaica,2,284,,afternoon,South Jamaica,3,323,,afternoon,Randalls Island,4,330
afternoon,Forest Hills,1,292,,afternoon,South Jamaica,2,275,,afternoon,Crown Heights North,3,319,,afternoon,Prospect Park,4,327
afternoon,Crown Heights North,1,290,,afternoon,Forest Hills,2,259,,afternoon,South Ozone Park,3,286,,afternoon,South Jamaica,4,327
afternoon,Briarwood/Jamaica Hills,1,240,,afternoon,Elmhurst/Maspeth,2,230,,afternoon,Elmhurst/Maspeth,3,267,,afternoon,South Ozone Park,4,313
afternoon,Elmhurst/Maspeth,1,236,,afternoon,Prospect-Lefferts Gardens,2,193,,afternoon,Forest Hills,3,258,,afternoon,Crown Heights North,4,297
afternoon,South Ozone Park,1,228,,afternoon,Briarwood/Jamaica Hills,2,183,,afternoon,Prospect-Lefferts Gardens,3,248,,afternoon,Sunset Park West,4,255
afternoon,Prospect-Lefferts Gardens,1,211,,afternoon,South Ozone Park,2,183,,afternoon,Briarwood/Jamaica Hills,3,234,,afternoon,Prospect-Lefferts Gardens,4,245
afternoon,Springfield Gardens South,1,199,,afternoon,Randalls Island,2,181,,afternoon,Sunset Park West,3,225,,afternoon,Forest Hills,4,238
