src,dst,count,month,avg_fare
Allerton/Pelham Gardens,East Tremont,1,1,11.8
Battery Park,Fort Greene,10,1,20.003000000000004
Battery Park,Windsor Terrace,4,1,30.445
Battery Park City,East Village,1716,1,18.92319930069934
Bloomingdale,Chinatown,7,1,32.61714285714286
Bloomingdale,Mariners Harbor,1,1,85.42
Bronxdale,Eastchester,1,1,9.3
Brooklyn Navy Yard,Kensington,1,1,18.3
Bushwick North,Hamilton Heights,4,1,53.8475
Bushwick South,Long Island City/Queens Plaza,5,1,22.432
Carroll Gardens,Upper West Side South,9,1,38.09444444444445
Central Harlem,Brownsville,2,1,68.005
Central Harlem North,Crotona Park East,18,1,22.465000000000003
Central Harlem North,Far Rockaway,1,1,72.84
Central Harlem North,Flatlands,1,1,88.34
Central Harlem North,Inwood,68,1,18.413676470588236
Central Park,Briarwood/Jamaica Hills,2,1,50.82
Clinton Hill,Brooklyn Navy Yard,17,1,7.828235294117646
Clinton Hill,Central Harlem,2,1,50.84
Clinton West,Madison,6,1,52.306666666666665
Clinton West,Prospect Park,9,1,35.870000000000005
Columbia Street,Kips Bay,3,1,23.773333333333337
Corona,Sunnyside,5,1,18.64
Crown Heights South,Kips Bay,1,1,31.11
DUMBO/Vinegar Hill,Lincoln Square West,8,1,28.965000000000003
Downtown Brooklyn/MetroTech,NV,18,1,12.868333333333332
East Chelsea,Hudson Sq,1834,1,11.816014176663053
East Concourse/Concourse Village,Bedford Park,8,1,13.45
East Harlem North,Hudson Sq,14,1,36.875
East Harlem North,Union Sq,159,1,24.61962264150943
East Harlem South,Battery Park,7,1,33.25857142857143
East New York/Pennsylvania Avenue,Williamsburg (South Side),1,1,21.35
East Village,Corona,56,1,34.316785714285714
East Village,JFK Airport,1107,1,64.48271002710031
East Village,Schuylerville/Edgewater Park,27,1,45.91185185185185
East Williamsburg,Gowanus,21,1,23.84619047619048
Elmhurst/Maspeth,Mott Haven/Port Morris,3,1,28.326666666666668
Financial District North,Morningside Heights,78,1,37.22602564102564
Flatlands,Marine Park/Mill Basin,3,1,10.966666666666667
Flushing Meadows-Corona Park,Hamilton Heights,4,1,66.1525
Garment District,Gramercy,3520,1,12.083613636363701
Gramercy,Bellerose,1,1,54.3
Gramercy,Flatiron,7191,1,9.290025031289089
Gravesend,Sheepshead Bay,1,1,9.8
Greenpoint,Bensonhurst West,1,1,43.4
Greenpoint,Ozone Park,1,1,36.3
Greenwich Village North,Bronxdale,4,1,48.900000000000006
Hamilton Heights,Kingsbridge Heights,16,1,19.570000000000004
Homecrest,Bensonhurst East,1,1,7.8
Howard Beach,Springfield Gardens South,4,1,21.3325
Hudson Sq,Willets Point,1,1,48.8
Inwood,Kingsbridge Heights,14,1,8.600714285714286
JFK Airport,Parkchester,148,1,56.913851351351354
Jackson Heights,Clinton East,23,1,25.756086956521738
Jackson Heights,Murray Hill-Queens,21,1,20.170952380952382
Jamaica,Boerum Hill,1,1,64.3
Lincoln Square West,Meatpacking/West Village West,424,1,17.74436320754716
Little Italy/NoLiTa,Manhattan Valley,167,1,28.818622754491017
Long Island City/Hunters Point,Bensonhurst West,1,1,50.15
Long Island City/Hunters Point,Highbridge Park,1,1,32.8
Long Island City/Queens Plaza,Bloomingdale,10,1,25.654000000000003
Long Island City/Queens Plaza,Sunset Park East,3,1,54.35333333333333
Long Island City/Queens Plaza,Williamsbridge/Olinville,1,1,51.8
Longwood,Upper East Side South,1,1,27.3
Marble Hill,Washington Heights South,1,1,14.3
Maspeth,Seaport,1,1,66.0
Middle Village,Middle Village,30,1,15.208666666666662
Midtown Center,Inwood,138,1,35.23297101449275
Midtown East,Meatpacking/West Village West,1918,1,18.081746611053227
Midtown East,Queens Village,20,1,56.34900000000001
Midtown North,Flatiron,2685,1,13.352398510242132
Midtown North,Springfield Gardens South,3,1,63.51000000000001
Midwood,Crown Heights North,2,1,22.3
Mott Haven/Port Morris,Melrose South,63,1,8.352539682539682
Mount Hope,Williamsbridge/Olinville,3,1,19.46666666666667
Norwood,Ocean Hill,1,1,73.84
Old Astoria,Flatiron,15,1,28.651333333333334
Old Astoria,Times Sq/Theatre District,51,1,21.054901960784317
Park Slope,Jackson Heights,12,1,36.23500000000001
Prospect Heights,Downtown Brooklyn/MetroTech,83,1,11.764819277108435
Prospect-Lefferts Gardens,Downtown Brooklyn/MetroTech,13,1,16.993076923076924
Queens Village,NA,8,1,11.870000000000001
Queensboro Hill,Auburndale,3,1,12.08
Richmond Hill,Whitestone,2,1,26.3
Ridgewood,Williamsburg (South Side),8,1,14.495
Saint Michaels Cemetery/Woodside,Sutton Place/Turtle Bay North,1,1,13.8
Schuylerville/Edgewater Park,Williamsbridge/Olinville,1,1,14.3
SoHo,Forest Park/Highland Park,1,1,44.8
SoHo,Laurelton,1,1,78.36
SoHo,South Jamaica,1,1,46.8
South Jamaica,Fort Greene,1,1,36.3
Steinway,Gowanus,2,1,40.765
Stuy Town/Peter Cooper Village,West Farms/Bronx River,1,1,32.8
Sunnyside,Newark Airport,3,1,119.19666666666666
Sunnyside,Old Astoria,246,1,13.467764227642279
Sunnyside,Van Cortlandt Village,1,1,51.41
Sunset Park West,West Chelsea/Hudson Yards,5,1,33.83
Sunset Park West,Windsor Terrace,18,1,10.269444444444446
