PUZone,month,count
Midtown Center,2,347809
Upper East Side South,2,342756
Penn Station/Madison Sq West,2,324149
Upper East Side North,2,321537
Union Sq,2,314375
Times Sq/Theatre District,2,312275
Midtown East,2,309016
Murray Hill,2,292041
East Village,2,291471
Clinton East,2,283544
Lincoln Square East,2,257701
Midtown North,2,241636
Upper West Side South,2,229832
Midtown South,2,222349
Gramercy,2,220736
East Chelsea,2,218766
West Village,2,208857
Lenox Hill West,2,205365
LaGuardia Airport,2,193930
Garment District,2,187081
